Symbol,Company Name,Series,Industry,ISIN Code
BOHRAIND,Bohra Industries Limited,EQ,24-Aug-21,INE488A01050
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,07-Jun-00,INE178A01016
BORANA,Borana Weaves Limited,EQ,20-Jun-22,INE974B01016
BOROLTD,Borosil Limited,EQ,08-Apr-22,INE102B01014
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,15-May-96,INE121A01024
BOROSCI,Borosil Scientific Limited,EQ,25-Sep-17,INE149A01033
BOSCHLTD,Bosch Limited,EQ,30-Aug-07,INE536H01010
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Oct-14,INE675C01017
BPL,BPL Limited,EQ,13-Jun-12,INE704H01022
BRIGADE,Brigade Enterprises Limited,EQ,08-Feb-95,INE059A01026
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,19-Jul-21,INE227W01023
BRITANNIA,Britannia Industries Limited,EQ,31-Mar-17,INE201M01029
BRNL,Bharat Road Network Limited,EQ,12-May-21,INE419D01026
BROOKS,Brooks Laboratories Limited,EQ,31-Dec-21,INE925R01014
BSE,BSE Limited,EQ,04-Nov-10,INE522F01014
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,08-Oct-21,INE377E01016
BSL,BSL Limited,EQ,11-Aug-17,INE704P01025
BSOFT,BIRLASOFT LIMITED,EQ,02-Nov-15,INE335K01011
BTML,Bodhi Tree Multimedia Limited,EQ,30-Aug-04,INE591G01017
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,17-Dec-07,INE259A01022
BYKE,The Byke Hospitality Ltd,EQ,02-Mar-12,INE453B01029
CAMLINFINE,Camlin Fine Sciences Limited,EQ,23-Jan-24,INE073V01015
CAMPUS,Campus Activewear Limited,EQ,07-May-97,INE111A01025
CAMS,Computer Age Management Services Limited,EQ,18-Aug-23,INE338H01029
CANBK,Canara Bank,EQ,13-Jun-19,INE552D01024
CANFINHOME,Can Fin Homes Limited,EQ,29-Mar-05,INE025A01027
CANTABIL,Cantabil Retail India Limited,EQ,24-Jun-16,INE663B01015
CAPACITE,Capacit'e Infraprojects Limited,EQ,31-May-95,INE169A01031
CAPITALSFB,Capital Small Finance Bank Limited,EQ,25-May-95,INE757A01017
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,22-Jan-09,INE695B01025
CAPTRUST,Capital Trust Limited,EQ,25-Mar-21,INE00LO01017
CARBORUNIV,Carborundum Universal Limited,EQ,05-Aug-19,INE985W01018
CARERATING,CARE Ratings Limited,EQ,20-Dec-00,INE230B01021
CARRARO,Carraro India Limited,EQ,23-Aug-18,INE741K01010
CARTRADE,Cartrade Tech Limited,EQ,27-Dec-06,INE559D01011
CARYSIL,CARYSIL LIMITED,EQ,28-Jun-95,INE007A01025
CASTROLIND,Castrol India Limited,EQ,13-May-16,INE299U01018
CCCL,Consolidated Construction Consortium Limited,EQ,04-Dec-19,INE679A01013
CCHHL,Country Club Hospitality & Holidays Limited,EQ,21-Jul-22,INE718F01018
CCL,CCL Products (India) Limited,EQ,25-Aug-98,INE491A01021
CDSL,Central Depository Services (India) Limited,EQ,29-Mar-95,INE298A01020
CEATLTD,CEAT Limited,EQ,27-Jan-99,INE214A01019
CEIGALL,Ceigall India Limited,EQ,30-Sep-98,INE136B01020
CELEBRITY,Celebrity Fashions Limited,EQ,10-Jul-23,INE055S01018
CELLO,Cello World Limited,EQ,28-Apr-99,INE016A01026
CEMPRO,Cemindia Projects Limited,EQ,22-Jan-19,INE00R701025
CENTENKA,Century Enka Limited,EQ,17-Jan-96,INE495A01022
CENTEXT,Century Extrusions Limited,EQ,04-Jul-16,INE497D01022
CENTRALBK,Central Bank of India,EQ,13-Nov-20,INE688Y01022
CENTRUM,Centrum Capital Limited,EQ,07-May-04,INE365B01017
CENTUM,Centum Electronics Limited,EQ,24-Dec-21,INE0IX101010
CENTURYPLY,Century Plyboards (India) Limited,EQ,25-Jan-24,INE179G01011
CERA,Cera Sanitaryware Limited,EQ,11-Aug-16,INE917M01012
CESC,CESC Limited,EQ,08-Sep-22,INE0I3401014
CEWATER,Concord Enviro Systems Limited,EQ,24-Feb-10,INE879I01012
CGCL,Capri Global Capital Limited,EQ,29-Feb-12,INE921B01025
CGPOWER,CG Power and Industrial Solutions Limited,EQ,21-Sep-17,INE385W01011
